Country of Residence,Approved,Refused,Approval rate,2019 Total,Year
Sierra Leone,16.0,75.0,18%,91.0,2019
Singapore,264.0,46.0,85%,310.0,2019
Sint-Maarten,4.0,,100%,4.0,2019
Slovak Republic,99.0,5.0,95%,104.0,2019
Slovenia,7.0,1.0,88%,8.0,2019
Socialist Republic of Vietnam,5163.0,5395.0,49%,10558.0,2019
"Solomons, The",1.0,,100%,1.0,2019
"Somalia, Democratic Republic of",6.0,69.0,8%,75.0,2019
"South Sudan, Republic Of",5.0,18.0,22%,23.0,2019
Spain,1516.0,81.0,95%,1597.0,2019
Sri Lanka,798.0,960.0,45%,1758.0,2019
St. Kitts-Nevis,16.0,3.0,84%,19.0,2019
St. Lucia,44.0,21.0,68%,65.0,2019
St. Pierre and Miquelon,3.0,,100%,3.0,2019
St. Vincent and the Grenadines,22.0,6.0,79%,28.0,2019
Stateless,,1.0,0%,1.0,2019
Surinam,14.0,5.0,74%,19.0,2019
Swaziland,6.0,5.0,55%,11.0,2019
Sweden,122.0,24.0,84%,146.0,2019
Switzerland,396.0,57.0,87%,453.0,2019
Syria,85.0,225.0,27%,310.0,2019
Tadjikistan,8.0,43.0,16%,51.0,2019
Taiwan,1949.0,170.0,92%,2119.0,2019
Thailand,693.0,163.0,81%,856.0,2019
The Netherlands,198.0,19.0,91%,217.0,2019
The Netherlands Antilles,7.0,1.0,88%,8.0,2019
Tibet,1.0,1.0,50%,2.0,2019
"Togo, Republic of",325.0,668.0,33%,993.0,2019
Tonga,1.0,1.0,50%,2.0,2019
"Trinidad and Tobago, Republic of",340.0,61.0,85%,401.0,2019
Tunisia,960.0,666.0,59%,1626.0,2019
Turkey,2429.0,904.0,73%,3333.0,2019
Turkmenistan,14.0,52.0,21%,66.0,2019
Turks and Caicos Islands,2.0,,100%,2.0,2019
Uganda,232.0,762.0,23%,994.0,2019
Ukraine,920.0,500.0,65%,1420.0,2019
United Arab Emirates,782.0,545.0,59%,1327.0,2019
United Kingdom and Overseas Territories,1303.0,164.0,89%,1467.0,2019
United Republic of Tanzania,268.0,189.0,59%,457.0,2019
United States Minor Outlying Islands,,1.0,0%,1.0,2019
United States of America,2570.0,492.0,84%,3062.0,2019
Unspecified,3.0,10.0,23%,13.0,2019
Uruguay,42.0,2.0,95%,44.0,2019
Uzbekistan,57.0,109.0,34%,166.0,2019
Vanuatu,1.0,,100%,1.0,2019
Venezuela,217.0,264.0,45%,481.0,2019
"Virgin Islands, U.S.",2.0,,100%,2.0,2019
Wallis And Futuna,,,,,2019
Western Sahara,,1.0,0%,1.0,2019
"Yemen, Republic of",56.0,210.0,21%,266.0,2019
Zambia,59.0,87.0,40%,146.0,2019
Zimbabwe,135.0,422.0,24%,557.0,2019
