Country of Residence,Approved,Refused,Approval rate,2020 Total,Year
Channel Islands,,,,,2020
Chile,268.0,26.0,91%,294.0,2020
Christmas Island,1.0,,100%,1.0,2020
Colombia,2224.0,1206.0,65%,3430.0,2020
Commonwealth of the Northern Mariana Islands,,,,,2020
Comoros,9.0,20.0,31%,29.0,2020
"Congo, Democratic Republic of the",432.0,2479.0,15%,2911.0,2020
"Congo, People's Republic of the",45.0,365.0,11%,410.0,2020
Cook Islands,,,,,2020
Costa Rica,31.0,20.0,61%,51.0,2020
Croatia,11.0,2.0,85%,13.0,2020
Cuba,31.0,67.0,32%,98.0,2020
Curacao,3.0,,100%,3.0,2020
Cyprus,6.0,1.0,86%,7.0,2020
Czech Republic,91.0,5.0,95%,96.0,2020
Czechoslovakia,3.0,,100%,3.0,2020
Democratic Republic of Sudan,26.0,52.0,33%,78.0,2020
Denmark,73.0,1.0,99%,74.0,2020
Dominica,10.0,4.0,71%,14.0,2020
Dominican Republic,81.0,242.0,25%,323.0,2020
"East Timor, Democratic Republic of",,,,,2020
Ecuador,453.0,173.0,72%,626.0,2020
Egypt,550.0,505.0,52%,1055.0,2020
El Salvador,32.0,81.0,28%,113.0,2020
Equatorial Guinea,2.0,8.0,20%,10.0,2020
Eritrea,5.0,22.0,19%,27.0,2020
Estonia,5.0,,100%,5.0,2020
Ethiopia,153.0,541.0,22%,694.0,2020
Falkland Islands,,,,,2020
Faroe Islands,1.0,,100%,1.0,2020
Federal Republic of Cameroon,476.0,3239.0,13%,3715.0,2020
Federal Republic of Germany,1728.0,28.0,98%,1756.0,2020
Federated States of Micronesia,,,,,2020
Fiji,11.0,16.0,41%,27.0,2020
Finland,62.0,,100%,62.0,2020
France,6097.0,131.0,98%,6228.0,2020
French Guiana,23.0,,100%,23.0,2020
French Polynesia,34.0,,100%,34.0,2020
Gabon Republic,45.0,130.0,26%,175.0,2020
Gambia,21.0,155.0,12%,176.0,2020
Georgia,9.0,18.0,33%,27.0,2020
Ghana,361.0,1626.0,18%,1987.0,2020
Gibraltar,4.0,2.0,67%,6.0,2020
Greece,58.0,8.0,88%,66.0,2020
Greenland,3.0,,100%,3.0,2020
Grenada,19.0,3.0,86%,22.0,2020
Guadeloupe,73.0,2.0,97%,75.0,2020
Guam,2.0,,100%,2.0,2020
Guatemala,23.0,43.0,35%,66.0,2020
Guernsey,1.0,,100%,1.0,2020
"Guinea, Republic of",143.0,1283.0,10%,1426.0,2020
Guinea-Bissau,1.0,,100%,1.0,2020
Guyana,135.0,41.0,77%,176.0,2020
Haiti,161.0,914.0,15%,1075.0,2020
Holy See,,,,,2020
Honduras,23.0,83.0,22%,106.0,2020
Hong Kong SAR,2080.0,220.0,90%,2300.0,2020
Hungary,60.0,6.0,91%,66.0,2020
Iceland,17.0,12.0,59%,29.0,2020
India,36057.0,38598.0,48%,74655.0,2020
Iran,3774.0,4430.0,46%,8204.0,2020
Iraq,59.0,462.0,11%,521.0,2020
Isle of Man,1.0,,100%,1.0,2020
Israel,182.0,8.0,96%,190.0,2020
Italy,1050.0,30.0,97%,1080.0,2020
Jamaica,448.0,954.0,32%,1402.0,2020
Japan,3094.0,68.0,98%,3162.0,2020
Jordan,351.0,1159.0,23%,1510.0,2020
Kazakhstan,222.0,150.0,60%,372.0,2020
Kenya,353.0,823.0,30%,1176.0,2020
Kiribati,1.0,,100%,1.0,2020
"Korea, People's Democratic Republic of",1.0,,100%,1.0,2020
"Korea, Republic of",4589.0,146.0,97%,4735.0,2020
"Kosovo, Republic of",22.0,10.0,69%,32.0,2020
Kuwait,146.0,174.0,46%,320.0,2020
Kyrgyzstan,28.0,51.0,35%,79.0,2020
Laos,4.0,,100%,4.0,2020
Latvia,10.0,3.0,77%,13.0,2020
Lebanon,551.0,415.0,57%,966.0,2020
Lesotho,1.0,1.0,50%,2.0,2020
Liberia,3.0,49.0,6%,52.0,2020
Libya,58.0,96.0,38%,154.0,2020
Liechtenstein,,,,,2020
Lithuania,7.0,2.0,78%,9.0,2020
Luxembourg,29.0,,100%,29.0,2020
Macao SAR,26.0,3.0,90%,29.0,2020
Macedonia,11.0,9.0,55%,20.0,2020
Madagascar,126.0,173.0,42%,299.0,2020
Madeira,,,,,2020
Malawi,10.0,22.0,31%,32.0,2020
Malaysia,203.0,48.0,81%,251.0,2020
"Maldives, Republic of",1.0,4.0,20%,5.0,2020
"Mali, Republic of",139.0,324.0,30%,463.0,2020
Malta,3.0,,100%,3.0,2020
Martinique,67.0,1.0,99%,68.0,2020
Mauritania,20.0,85.0,19%,105.0,2020
Mauritius,209.0,192.0,52%,401.0,2020
Mayotte,,,,,2020
Mexico,1842.0,426.0,81%,2268.0,2020
Moldova,25.0,23.0,52%,48.0,2020
Monaco,11.0,,100%,11.0,2020
"Mongolia, People's Republic of",57.0,62.0,48%,119.0,2020
"Montenegro, Republic of",13.0,2.0,87%,15.0,2020
Morocco,1572.0,1309.0,55%,2881.0,2020
Mozambique,4.0,8.0,33%,12.0,2020
Myanmar (Burma),72.0,24.0,75%,96.0,2020
Namibia,1.0,8.0,11%,9.0,2020
Nepal,484.0,720.0,40%,1204.0,2020
New Caledonia,16.0,,100%,16.0,2020
New Zealand,26.0,2.0,93%,28.0,2020
Nicaragua,14.0,32.0,30%,46.0,2020
Nigeria,2073.0,9490.0,18%,11563.0,2020
Niue,,6.0,0%,6.0,2020
Norway,43.0,2.0,96%,45.0,2020
Oman,80.0,35.0,70%,115.0,2020
Other Countries,31.0,96.0,24%,127.0,2020
Pakistan,707.0,1459.0,33%,2166.0,2020
Palestinian Authority (Gaza/West Bank),32.0,96.0,25%,128.0,2020
"Panama, Republic of",81.0,29.0,74%,110.0,2020
Papau New Guinea,,,,,2020
Paraguay,5.0,1.0,83%,6.0,2020
Peoples Republic of Benin,113.0,570.0,17%,683.0,2020
People's Republic of China,9737.0,2288.0,81%,12025.0,2020
Peru,356.0,174.0,67%,530.0,2020
Philippines,2594.0,2547.0,50%,5141.0,2020
Pitcairn Island,,,,,2020
Poland,60.0,2.0,97%,62.0,2020
Portugal,34.0,4.0,89%,38.0,2020
Puerto Rico,9.0,,100%,9.0,2020
Qatar,60.0,79.0,43%,139.0,2020
Republic of Djibouti,9.0,70.0,11%,79.0,2020
Republic of Indonesia,349.0,146.0,71%,495.0,2020
Republic of Ireland,56.0,12.0,82%,68.0,2020
Republic of Ivory Coast,531.0,1481.0,26%,2012.0,2020
Republic of Palau,,,,,2020
Republic of South Africa,360.0,254.0,59%,614.0,2020
Republic of The Marshall Islands,,,,,2020
Republic of the Niger,49.0,112.0,30%,161.0,2020
Reunion,49.0,2.0,96%,51.0,2020
Romania,31.0,30.0,51%,61.0,2020
Russia,681.0,237.0,74%,918.0,2020
Rwanda,190.0,899.0,17%,1089.0,2020
Saint-Barthelemy,1.0,1.0,50%,2.0,2020
Saint-Martin,7.0,,100%,7.0,2020
San Marino,1.0,,100%,1.0,2020
Sao Tome and Principe,,2.0,0%,2.0,2020
Saudi Arabia,495.0,548.0,47%,1043.0,2020
Senegal,416.0,1779.0,19%,2195.0,2020
Serbia and Montenegro,,1.0,0%,1.0,2020
"Serbia, Republic of",72.0,18.0,80%,90.0,2020
Seychelles,,2.0,0%,2.0,2020
Sierra Leone,7.0,32.0,18%,39.0,2020
Singapore,161.0,10.0,94%,171.0,2020
Sint-Maarten,1.0,,100%,1.0,2020
Slovak Republic,76.0,4.0,95%,80.0,2020
Slovenia,6.0,1.0,86%,7.0,2020
Socialist Republic of Vietnam,2372.0,1485.0,61%,3857.0,2020
"Solomons, The",,,,,2020
"Somalia, Democratic Republic of",2.0,31.0,6%,33.0,2020
"South Sudan, Republic Of",1.0,4.0,20%,5.0,2020
Spain,554.0,19.0,97%,573.0,2020
Sri Lanka,687.0,845.0,45%,1532.0,2020
St. Kitts-Nevis,4.0,1.0,80%,5.0,2020
St. Lucia,23.0,7.0,77%,30.0,2020
St. Pierre and Miquelon,1.0,,100%,1.0,2020
St. Vincent and the Grenadines,12.0,5.0,71%,17.0,2020
Stateless,,,,,2020
Surinam,4.0,1.0,80%,5.0,2020
Swaziland,7.0,2.0,78%,9.0,2020
Sweden,67.0,3.0,96%,70.0,2020
Switzerland,235.0,4.0,98%,239.0,2020
Syria,43.0,189.0,19%,232.0,2020
Tadjikistan,8.0,16.0,33%,24.0,2020
Taiwan,1032.0,72.0,93%,1104.0,2020
Thailand,394.0,79.0,83%,473.0,2020
The Netherlands,135.0,7.0,95%,142.0,2020
The Netherlands Antilles,2.0,,100%,2.0,2020
Tibet,1.0,2.0,33%,3.0,2020
"Togo, Republic of",135.0,611.0,18%,746.0,2020
Tonga,,,,,2020
"Trinidad and Tobago, Republic of",240.0,41.0,85%,281.0,2020
Tunisia,665.0,374.0,64%,1039.0,2020
Turkey,1338.0,688.0,66%,2026.0,2020
Turkmenistan,4.0,18.0,18%,22.0,2020
Turks and Caicos Islands,3.0,3.0,50%,6.0,2020
Uganda,120.0,371.0,24%,491.0,2020
Ukraine,574.0,220.0,72%,794.0,2020
United Arab Emirates,590.0,452.0,57%,1042.0,2020
United Kingdom and Overseas Territories,568.0,65.0,90%,633.0,2020
United Republic of Tanzania,142.0,179.0,44%,321.0,2020
United States Minor Outlying Islands,1.0,1.0,50%,2.0,2020
United States of America,2297.0,146.0,94%,2443.0,2020
Unspecified,,,,,2020
Uruguay,22.0,2.0,92%,24.0,2020
Uzbekistan,26.0,106.0,20%,132.0,2020
Vanuatu,,,,,2020
Venezuela,129.0,131.0,50%,260.0,2020
"Virgin Islands, U.S.",1.0,,100%,1.0,2020
Wallis And Futuna,,,,,2020
Western Sahara,1.0,1.0,50%,2.0,2020
"Yemen, Republic of",34.0,102.0,25%,136.0,2020
Zambia,41.0,67.0,38%,108.0,2020
Zimbabwe,93.0,269.0,26%,362.0,2020
